number,question,option_1,option_2,option_3,option_4,option_5,option_6,correct_answers,explanation,reference_url,source_file,test_number
1,Snowflake Administrators should utilize resource monitors to help control costs and avoid unexpected credit usage. Which of the following actions can Snowflake‘s resource monitor triggers initiate automatically? (Check all that apply),Roll over query executions to under utilized warehouses,Impose limits on the number of credits that warehouses consume each month,Trigger alert notifications for high usage,Trigger warehouse suspension for high usage,,,"2, 3, 4",Resource Monitor details for snowflake can be found at link –https://docs.snowflake.com/en/user-guide/resource-monitors.html,https://docs.snowflake.com/en/user-guide/resource-monitors.html,Test 1,1
2,Snowflake is what kind of offering?,On Premise Application,Software as a service (SaaS),Platform as a service (PaaS),Infrastructure as a service (IaaS),,,2,"Snowflake is an analytic data warehouse provided as Software-as-a-Service (SaaS). Snowflake provides a data warehouse that is faster, easier to use, and far more flexible than traditional data warehouse offerings.Snowflakes data warehouse is not built on an existing database or big data software platform such as Hadoop. The Snowflake data warehouse uses a new SQL database engine with a unique architecture designed for the cloud. To the user, Snowflake has many similarities to other enterprise data warehouses, but also has additional functionality and unique capabilities.Refer Link -https://docs.snowflake.com/en/user-guide/intro-key-concepts.html",,Test 1,1
3,Snowflake account hosted on AWS cannot load data from a file that is staged on GCP or Azure,TRUE,FALSE,,,,,2,"Irrespective of which ever underlying cloud service provider is used for Snowflake, there is a provision to create an external stage that can load data in snowflake from AWS, Azure or Google Cloud.",,Test 1,1
4,Which of the below two stages are automatically created and need not be configured explicitly by the user,User Stage,Role Stage,S3 Stage,Internal Stage,Table Stage,External Stage,"1, 5","By default, each user and table in Snowflake is automatically allocated an internal stage for staging data files to be loaded. In addition, you can.Refer Link –https://docs.snowflake.com/en/user-guide/data-load-local-file-system-create-stage.html",https://docs.snowflake.com/en/user-guide/data-load-local-file-system-create-stage.html,Test 1,1
5,"What is the recommended file size, to optimize the number of parallel operation for a load",50 MB to 150 MB (Compressed),100-250 MB (Compressed),None of the above,1 MB to 10 MB (Compressed),,,2,"The number of load operations that run in parallel cannot exceed the number of data files to be loaded. To optimize the number of parallel operations for a load, we recommend aiming to produce data files roughly 100-250 MB (or larger) in size compressed.Refer Link –https://docs.snowflake.com/en/user-guide/data-load-considerations-prepare.html",https://docs.snowflake.com/en/user-guide/data-load-considerations-prepare.html,Test 1,1
6,Snowflake Instances in different regions require separate accounts,FALSE,TRUE,,,,,2,Same account cannot be hosted on multiple regions. While setting up snowflake account we get an option to select only one region.,,Test 1,1
7,Shares take place between which two groups?,Sharers & Consumers,Providers & Consumers,Data Writers & Data Readers,Full Accounts & Reading Accounts,,,2,Refer Link for Snowflake Share details –https://docs.snowflake.com/en/user-guide/data-sharing-intro.html,https://docs.snowflake.com/en/user-guide/data-sharing-intro.html,Test 1,1
8,Mark the types of Stages available in Snowflake,External Stage,S3 Stage,Internal Stage,User Stage,Table Stage,Role Stage,"1, 3, 4, 5",Refer Link to get details of different stages –https://docs.snowflake.com/en/user-guide/data-load-local-file-system-create-stage.html,https://docs.snowflake.com/en/user-guide/data-load-local-file-system-create-stage.html,Test 1,1
9,Which command is used to download the data from Snowflake Stage,DOWNLOAD,PUT,GET,RETRIEVE,,,3,Get command is used to download data files from one of the following Snowflake stages to a local directory/folder on a client machine:Named internal stage.Internal stage for a specified table.Internal stage for the current user.Refer Link -https://docs.snowflake.com/en/sql-reference/sql/get.html,,Test 1,1
10,"If you find a data-related tool that is not listed as part of the Snowflake ecosystem, what industry standard options could you check for as a way to easily connect to Snowflake?",Check to see if the tool can connect to other solutions via ODBC,Check to see if the tool can connect to other solutions via JDBC,Check to see if you can develop a driver and put it on Github,Check to see if there is a petition in the community to create a driver,,,"1, 2","Snowflake provides ODBC and JDBC drivers to connect, and hence any tools having a standard support for ODBC / JDBC can connect to snowflake, without a need of explicit connectors.",,Test 1,1
11,External Stages require a cloud storage provider,TRUE,FALSE,,,,,1,"External stages are created where in they refer to a path on either AWS S3, Azure Blob Storage, or Google Cloud Storage. Hence they need an external storage provider which is either AWS, Azure or GCP.",,Test 1,1
12,A CAST command will force a value to be output as a certain datatype. Which of the following symbols will result in the “castcolumn“ being output using the VARCHAR datatype?,SELECT VARCHAR(castcolumn),SELECT castcolumn as VARCHAR,SELECT castcolumn||VARCHAR,SELECT castcolumn::VARCHAR,,,4,Just execute the options and you will get the required answer,,Test 1,1
13,Which SQL statements can work on a cloned Table?,SELECT command,SHOW command,All of the above,DROP table command,,,3,"Clone object is a separate object, on which all types of database table operation can be performed. Just that once there are changes made to the clone it start incurring storage cost, which is not the case when it is first cloned, which is why it is called zero copy cloning.",,Test 1,1
14,Which of the following Snowflake Editions provides automatic encryption of all data?,All Editions provide automatic encryption of all data,Standard,Business Critical,Enterprise,,,1,Refer table in this link –https://docs.snowflake.com/en/user-guide/intro-editions.html#virtual-private-snowflake-vps,https://docs.snowflake.com/en/user-guide/intro-editions.html#virtual-private-snowflake-vps,Test 1,1
15,Scaling in is a manual process (e.g. Max Clusters to min clusters),TRUE,FALSE,,,,,2,"Scale Out & Scale in is the change in the number of clusters serving the query workload on snowflake. The process of scaling out / in is an automated process, and based on the scaling policy (Economy / Standard) that is defined and the workload on the warehouse,  this change in the number of cluster happens automatically.",,Test 1,1
16,Which of the following are Snowflake view types?,External,Permanent,Secure,Materialized,Standard,Transient,"3, 4, 5",Refer section for details about snowflake views –https://docs.snowflake.com/en/user-guide/views-introduction.html,https://docs.snowflake.com/en/user-guide/views-introduction.html,Test 1,1
17,Data Consumers can be set up to consume data using which two types of consuming accounts?,Sharing Accounts & Query Accounts,Full Accounts & Reader Accounts,Sharing Accounts & Providing Accounts,Query Accounts & Full Accounts,,,2,Refer Link for details –https://docs.snowflake.com/en/user-guide/data-sharing-intro.html,https://docs.snowflake.com/en/user-guide/data-sharing-intro.html,Test 1,1
18,How many number of shares can be created in a Snowflake Account?,10,Unlimited,50,100,,,2,Snowflake does not place any hard limits on the number of shares you can create or the number of accounts you can add to a share.Refer link for details –https://docs.snowflake.com/en/user-guide/data-sharing-intro.html,https://docs.snowflake.com/en/user-guide/data-sharing-intro.html,Test 1,1
