number,question,option_1,option_2,option_3,option_4,option_5,option_6,correct_answers,explanation,reference_url,source_file,test_number
3,"What all commands will you use to load data from External Stage (for example, AWS S3 bucket) System to Snowflake table?",Only COPY INTO command,PUT COMMAND followed by COPY INTO,COPY INTO followed by PUT command,Only PUT command,,,1,You do not need to run PUT command when loading data from External Stage to Snowflake. COPY INTO command can directly copy from External Stage or Cloud Storage (Like AWS S3 bucket).,,Test 11,11
4,Semi Structured data can be accessed: (Select 3),In files on an AWS EC2 server,In files in an on-prem file server,In a permanent table using the variant data type,In files in a internal stage,In files in an external stage,,3, 4, 5,"Snowflake CAN‘T access from AWS EC2 server and on-prem file server. Snowflake can query External Table ( files of External Stage), Internal Stage and Permanent table.",,Test 11,11
9,"The following SQL statement will require a running warehouse – CREATE TABLE T1 (NAME (VARCHAR20), ADDRESS VARCHAR (50));",FALSE,TRUE,,,,,1,"CREATE DDL statement is handles by Cloud Services layer and so, it doesn‘t require Virtual Warehouse.",,Test 11,11
10,"User A and User B can access one another‘s result sets from the Results Cache, as long as which of the following are true? (Choose two)",They use the same Warehouse.,They run the exact same SQL Text/Query.,They sign in to the same Session.,They use the same Role.,They run with 59 minutes of one another.,,2, 4,There must not be change in query to get the benefit of cache as well as user should use the same role.,,Test 11,11
11,Which command will return information about the current database?,QUERY current_database( );,USE current_database( );,SELECT current_database( );,RETURN current_database( );,,,3,CURRENT_DATABASE() is a context function and returns the name current database using SELECT command.,,Test 11,11
20,Objects that are dropped from a shared database and then recreated with the same name are not immediately available in the share; you must execute grant usage on the objects to make them available,FALSE,TRUE,,,,,2,"True, you need to GRANT on newly create object. It doesn‘t matter if you create the same object what you have dropped.",,Test 11,11
22,Which parameter does help in loading files whose metadata has expired?,set LAST_MODIFIED_DATE to within 64 days,set LOAD_UNCERTAIN_FILES to TRUE,Set LAST_MODIFIED_DATE to more than 64 days,set LOAD_EXPIRED_FILES to TRUE,,,2,"To load files whose metadata has expired, set the LOAD_UNCERTAIN_FILES copy option to true.",,Test 11,11
24,You have a LARGE sized warehouse ‘MY_WAREHOUSE‘. You want to change the size to SMALL. Which SQL statement will help you to change the size of warehouse?,UPDATE MY_WAREHOUSE SET SIZE = “SMALL“;,ALTER WAREHOUSE MY_WAREHOUSE SET WAREHOUSE_SIZE = “SMALL“;,ALTER WAREHOUSE MY_WAREHOUSE SET SIZE = “SMALL“;,ALTER MY_WAREHOUSE SET SIZE = “SMALL“;,,,2,ALTER WAREHOUSE command can help change the warehouse size,,Test 11,11
25,When a database or schema is cloned. What object is not cloned?,Stored Procedures,Internal Stages,Pipes,Sequences,Internal Named Stages,,5,"The following rules apply to cloning stages or objects that contain stages (i.e. databases and schemas): – Individual external named stages can be cloned; internal named stages cannot be cloned. – When cloning a database or schema: –External named stages that were present in the source when the cloning operation started are cloned. –Tables are cloned, which means their internal stages are also cloned. –Internal named stages are not cloned. Regardless of how a stage was cloned, the clone does not include any of the files from the source. i.e. all cloned stages are empty.",,Test 11,11
28,Which role is inherited to every other role in the account?,PUBLIC ROLE,PREFERED ROLE,CONTROL ROLE,DEFAULT ROLE,STANDARD ROLE,,1,"PUBLIC role is Pseudo-role, that is automatically granted to every user and every role in your account. The PUBLIC role can own securable objects, just like any other role; however, the objects owned by the role are, by definition, available to every other user and role in your account. This role is typically used in cases where explicit access control is not needed and all users are viewed as equal with regard to their access rights.",,Test 11,11
29,"Which SQL statements will need a running Warehouse and consume credit? Consider table created as – CREATE OR REPLACE TABLE T1 ( ID number(2), Name varchar(20), Salary number (11,2) );",SELECT MIN(ID) FROM T1;,SELECT MAX(ID) FROM T1;,SELECT AVG(ID) FROM T1;,SELECT COUNT(*) FROM T1;,,,3,"Cloud services layer does not store average value of column data, and so, it gets computed and requires a running warehouse.",,Test 11,11
30,How is the most effective way to test if clustering a table helped performance?,Use SYSTEM$CLUSTERING_INFORMATION. Check the average_depth,Use the SYSTEM$CLUSTERING_DEPTH and check the depth of each column,Run a sample query before clustering and after to compare the results,Use SYSTEM$CLUSTERING_INFORMATION. Check the average_overlaps,Use SYSTEM$CLUSTERING_INFORMATION. Check the total_constant_partition_count,,3,"Also, Snowflake strongly recommends that you test a representative set of queries on the table to establish some performance baselines.",,Test 11,11
35,Which of these must return a value?,Both,Stored Procedure,User-Defined Function,,,,3,Stored Procedure may or may not return the value but UDF must return the value.,,Test 11,11
38,How many maximum columns (or expressions) are recommended for a cluster key?,7 to 8,"Higher the number of columns (or expressions) in the key, better will be the performance",12 to 16,3 to 4,,,4,"A single clustering key can contain one or more columns or expressions. For most tables, Snowflake recommends a maximum of 3 or 4 columns (or expressions) per key. Adding more than 3-4 columns tends to increase costs more than benefits.",,Test 11,11
